complaint_id,timestamp,text_length,gemini_analysis,risk_score
17275369,2025-12-03T20:47:51.553160,986,"{""scam_probability"": 40, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""service scams"", ""subcategory"": ""financial services fraud""}, ""red_flags"": {""communication"": [""refusing all communication"", ""do not answer emails"", ""blocked from support groups"", ""blocked from support page"", ""support system provides no human response or escalation"", ""no explanation was ever provided"", ""withholding funds with zero communication""], ""financial"": [""withholding approximately {[AMOUNT]} belonging to my business"", ""account is frozen"", ""blocked from withdrawing crypto or USD"", ""locked out of accessing its own funds"", ""causing serious and immediate financial harm to my business"", ""withholding {[AMOUNT]} of corporate assets""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The company's business funds of {[AMOUNT]} are being held without explanation or communication, causing significant and immediate financial harm.""}, ""confidence"": 95}",40
17027700,2025-12-03T20:47:51.745931,1227,"{""scam_probability"": 0, ""is_job_related"": false, ""category"": ""not_scam_irrelevant"", ""scam_type"": {""primary_category"": ""N/A"", ""subcategory"": ""N/A""}, ""red_flags"": {""communication"": [], ""financial"": [], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""N/A"", ""potential_loss"": ""N/A"", ""explanation"": ""N/A""}, ""confidence"": 100}",0
16975074,2025-12-03T20:48:44.715930,614,"{""scam_probability"": 10, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""N/A""}, ""red_flags"": {""communication"": [], ""financial"": [""Fraudulent charges on multiple accounts"", ""Unauthorized withdrawals"", ""Account closure due to fraud""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""High"", ""potential_loss"": ""XXXX + XXXX XXXX"", ""explanation"": ""The user experienced significant fraudulent charges on two separate accounts, leading to account closure and potential ongoing credit damage.""}, ""confidence"": 95}",10
17041587,2025-12-03T20:48:44.735338,410,"{""scam_probability"": 95, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""service scams"", ""subcategory"": ""N/A""}, ""red_flags"": {""communication"": [""not communicating with me very well""], ""financial"": [""sent a picture of a receipt saying {[AMOUNT]} paid instead of the {[AMOUNT]} I sent him which means he added on money for some odd reason"", ""bank denied my claim and still til this day havent received my money back""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""High"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The complainant paid for a part that was never received, and the service provider also misrepresented the amount paid on a receipt, indicating a deliberate attempt to deceive. The bank's denial of the claim suggests difficulty in recovering funds.""}, ""confidence"": 98}",95
17082264,2025-12-03T20:48:46.508060,543,"{""scam_probability"": 95, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""wire_fraud"", ""subcategory"": ""impersonation_scam""}, ""red_flags"": {""communication"": [""spoofed number"", ""threatened with arrest""], ""financial"": [""payment sent via Zelle"", ""Wells Fargo refused to recover lost amount"", ""Wells Fargo allowed some payments after denying others"", ""Wells Fargo received notice of fraud but still allowed payment""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""High"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The consumer lost a significant amount of money due to a fraudulent threat, and the bank's actions exacerbated the loss by allowing a payment after being notified of the fraud.""}, ""confidence"": 98}",95
17027562,2025-12-03T20:48:46.551177,816,"{""scam_probability"": 95, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Wire Fraud""}, ""red_flags"": {""communication"": [""Unsolicited text message from 'bank'"", ""Urgency to act quickly (reverse transfer)"", ""Phone call claiming to be from bank"", ""Request for verification code""], ""financial"": [""Unauthorized transfer claim"", ""Instruction to make a transfer"", ""Money was transferred as part of the scam""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""Unknown"", ""explanation"": ""The consumer was tricked into transferring money to a fraudulent account by scammers impersonating their bank. The funds are likely unrecoverable.""}, ""confidence"": 98}",95
17169208,2025-12-03T20:48:47.513833,174,"{""scam_probability"": 0, ""is_job_related"": false, ""category"": ""not_scam_irrelevant"", ""scam_type"": {}, ""red_flags"": {""communication"": [], ""financial"": [], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""N/A"", ""potential_loss"": ""N/A"", ""explanation"": ""N/A""}, ""confidence"": 100}",0
17307317,2025-12-03T20:48:48.299966,1356,"{""scam_probability"": 95, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""Wire Fraud"", ""subcategory"": ""N/A""}, ""red_flags"": {""communication"": [""Received unsolicited email claiming fraudulent activity"", ""Impersonation of company representative (XXXX XXXX ID - XXXX)"", ""Transfer to a colleague with another ID"", ""Urgency to \""secure account\"" and process refund"", ""Repeated attempts to call back after hanging up""], ""financial"": [""Instructions to install software (XXXX) for refund processing"", ""Request to log into PayPal for refund"", ""Granting computer access via two-factor authorization link"", ""Claim of mistaken transfer requiring immediate refund"", ""Unauthorized wire transfer initiated"", ""Funds unavailable in the fraudulent account""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The victim lost a significant amount of money due to an unauthorized wire transfer, and attempts to recover the funds have been unsuccessful.""}, ""confidence"": 100}",95
16992893,2025-12-03T20:48:49.483955,1435,"{""scam_probability"": 100, ""is_job_related"": true, ""category"": ""scam_job"", ""scam_type"": {""primary_category"": ""Fake Placement/Staffing Scams"", ""subcategory"": ""N/A""}, ""red_flags"": {""communication"": [""Communication through manager and group chat for transactions"", ""Elaborate online scam disguised as remote work opportunity""], ""financial"": [""Instructions to purchase cryptocurrency and send to company wallets for investment tasks"", ""Funds taken after an incorrect trade"", ""Told to pay additional amounts for recovery tasks"", ""Fees for credit score points"", ""Payment to unlock a frozen account"", ""Payment to obtain a 'XXXX' to release funds"", ""New fees or tasks added after compliance"", ""Inability to withdraw supposed account balance""], ""job_posting"": [""Initial job involved watching and subscribing to videos for payment""], ""hiring_process"": [], ""work_activity"": [""Initial tasks involved watching and subscribing to videos""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""N/A"", ""explanation"": ""The victim was repeatedly asked to pay increasing amounts of money, including cryptocurrency and fees to 'unlock' funds or accounts, with the promise of profit and withdrawal, which never materialized. This pattern is indicative of a significant financial loss.""}, ""confidence"": 100}",100
17260065,2025-12-03T20:48:49.497473,3015,"{""scam_probability"": 0, ""is_job_related"": false, ""category"": ""not_scam_irrelevant"", ""scam_type"": {""primary_category"": null, ""subcategory"": null}, ""red_flags"": {""communication"": [], ""financial"": [], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""N/A"", ""potential_loss"": ""N/A"", ""explanation"": ""The complaint describes a fraudulent wire transfer but is not a scam itself; rather, it's a report of unauthorized financial activity. The financial risk has already materialized, but the complaint isn't an attempt to perpetrate a scam.""}, ""confidence"": 100}",0
17196888,2025-12-03T20:48:50.657823,207,"{""scam_probability"": 95, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""Romance Scams"", ""subcategory"": ""N/A""}, ""red_flags"": {""communication"": [""App full of bots, not real people""], ""financial"": [""Stealing money from customers""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""N/A"", ""explanation"": ""The complaint explicitly states money was stolen due to a scam involving fake people and an app, indicating a high risk of significant financial loss.""}, ""confidence"": 98}",95
17193793,2025-12-03T20:48:51.222517,1570,"{""scam_probability"": 95, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""financial"", ""subcategory"": ""wire fraud""}, ""red_flags"": {""communication"": [""Caller ID spoofing (number identifying as USAA)"", ""Urgency and pressure to act quickly (initiating refund process)"", ""Request for personal information (phone number for refund)""], ""financial"": [""Unauthorized charges/payments"", ""Loss of funds (account went negative)"", ""Difficulty resolving the issue with the bank""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""High"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The consumer experienced an unauthorized transaction that depleted their account balance and the dispute was denied, leading to a direct financial loss.""}, ""confidence"": 98}",95
17046297,2025-12-03T20:48:51.983294,703,"{""scam_probability"": 75, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Unknown""}, ""red_flags"": {""communication"": [""hung up on"", ""transfered to multiple departments"", ""received nothing""], ""financial"": [""direct pay thru my business account"", ""money has been stolen"", ""{[AMOUNT]} back""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The consumer's business account was subjected to unauthorized direct pay, resulting in a significant financial loss. The bank's refusal to provide proof for a police report further exacerbates the financial risk and potential for further fraudulent activity.""}, ""confidence"": 90}",75
17089556,2025-12-03T20:48:52.390537,221,"{""scam_probability"": 75, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""service scams"", ""subcategory"": ""online marketplace fraud""}, ""red_flags"": {""communication"": [""Seller unable to provide shipping number""], ""financial"": [""Payment made, product not received""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""Medium"", ""potential_loss"": ""Cost of the item"", ""explanation"": ""The buyer paid for an item but did not receive it, and the seller is unresponsive regarding shipping details, indicating potential fraud in a marketplace transaction.""}, ""confidence"": 95}",75
16972121,2025-12-03T20:49:45.037411,1603,"{""scam_probability"": 100, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""scam_other"", ""subcategory"": ""wire fraud""}, ""red_flags"": {""communication"": [""Bank employees observed that I was visibly distressed and noted inconsistencies in my wire instructions but failed to intervene.""], ""financial"": [""coerced into wiring {[AMOUNT]} from XXXX Bank of America account to XXXX XXXX"", ""the bank froze and then seized my remaining balance of approximately {[AMOUNT]}""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The user was coerced into wiring funds to criminals and subsequently had their remaining bank balance frozen and seized by the bank, preventing access to their money.""}, ""confidence"": 95}",100
17280602,2025-12-03T20:49:45.189103,1028,"{""scam_probability"": 100, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""wire_fraud"", ""subcategory"": ""N/A""}, ""red_flags"": {""communication"": [""Scammer posed as a representative."", ""Citibank was smug and indifferent."", ""Citibank was unwilling to issue a reference number or contact for follow-up.""], ""financial"": [""Funds sent via wire transfer."", ""Funds received in a Citibank account named XXXX XXXX XXXX."", ""Victim realized funds were gone.""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The complaint explicitly states being a victim of wire fraud totaling a specific amount, indicating a critical financial loss.""}, ""confidence"": 100}",100
17163492,2025-12-03T20:49:46.420504,2442,"{""scam_probability"": 95, ""is_job_related"": false, ""category"": ""scam_other"", ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Wire Fraud""}, ""red_flags"": {""communication"": [""Wells Fargo has not responded or provided any documentation or restitution."", ""The absence of communication or cooperation from Wells Fargo has prolonged the loss and caused ongoing financial hardship.""], ""financial"": [""I initiated a wire transfer of {[AMOUNT]}"", ""transaction later turned out to involve a fraudulent recipient account."", ""recipient withdrew or transferred all funds and closed the Wells Fargo account."", ""ongoing financial hardship, including difficulty maintaining mortgage obligations and other credit payments.""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The consumer lost a significant amount of money through a fraudulent wire transfer and is facing severe financial hardship.""}, ""confidence"": 98}",95
